date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:43	37504/37504	---M-Z	200	added ('OK')	text/html	etag:%229280-647443a4-a7b9cf60315fb561;gz%22	https://themecraze.net/demos/html/spring/spring/index.html	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/index.html	(from )
16:15:43	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-8e04f2594d54fb09;gz%22	https://themecraze.net/robots.txt		(from )
16:15:44	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-647443a4-c4c38fb0bedcb1e7;gz%22	https://themecraze.net/demos/html/spring/spring/css/bootstrap.css	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/css/bootstrap.css	(from https://themecraze.net/demos/html/spring/spring/index.html)
16:15:45	97093/97093	---M-Z	200	added ('OK')	text/css	etag:%2217b45-647443a4-7180cd0f9caae66f;gz%22	https://themecraze.net/demos/html/spring/spring/css/style.css	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/css/style.css	(from https://themecraze.net/demos/html/spring/spring/index.html)
16:15:45	744/744	---M--	200	added ('OK')	image/png	etag:%222e8-647443a4-209b6c98223b4462;;;%22	https://themecraze.net/demos/html/spring/spring/images/favicon.png	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/images/favicon.png	(from https://themecraze.net/demos/html/spring/spring/index.html)
16:15:45	13689/13689	---M-Z	200	added ('OK')	text/css	etag:%223579-647443a4-a00d49975586f263;gz%22	https://themecraze.net/demos/html/spring/spring/css/responsive.css	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/css/responsive.css	(from https://themecraze.net/demos/html/spring/spring/index.html)
16:15:46	2220/2220	---M--	200	added ('OK')	image/png	etag:%228ac-647443a4-52e6441b416f7b9;;;%22	https://themecraze.net/demos/html/spring/spring/images/logo.png	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/images/logo.png	(from https://themecraze.net/demos/html/spring/spring/index.html)
16:15:46	34971/34971	---M-Z	200	added ('OK')	text/html	etag:%22889b-647443a4-52591d209399f2b2;gz%22	https://themecraze.net/demos/html/spring/spring/index-2.html	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/index-2.html	(from https://themecraze.net/demos/html/spring/spring/index.html)
16:15:46	41888/41888	---M-Z	200	added ('OK')	text/html	etag:%22a3a0-647443a4-26279801eb1ee4d;gz%22	https://themecraze.net/demos/html/spring/spring/index-3.html	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/index-3.html	(from https://themecraze.net/demos/html/spring/spring/index.html)
16:15:47	30657/30657	---M-Z	200	added ('OK')	text/html	etag:%2277c1-647443a4-bc0350ee6ff17e9f;gz%22	https://themecraze.net/demos/html/spring/spring/index-4.html	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/index-4.html	(from https://themecraze.net/demos/html/spring/spring/index.html)
16:15:47	24768/24768	---M-Z	200	added ('OK')	text/html	etag:%2260c0-647443a4-a221897fa3d095dd;gz%22	https://themecraze.net/demos/html/spring/spring/about.html	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/about.html	(from https://themecraze.net/demos/html/spring/spring/index.html)
16:15:48	16203/16203	---M-Z	200	added ('OK')	text/html	etag:%223f4b-647443a4-4c39d4cbcd0b105f;gz%22	https://themecraze.net/demos/html/spring/spring/price.html	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/price.html	(from https://themecraze.net/demos/html/spring/spring/index.html)
16:15:48	25987/25987	---M-Z	200	added ('OK')	text/html	etag:%226583-647443a4-29835021ed5ec528;gz%22	https://themecraze.net/demos/html/spring/spring/services.html	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/services.html	(from https://themecraze.net/demos/html/spring/spring/index.html)
16:15:48	16615/16615	---M-Z	200	added ('OK')	text/html	etag:%2240e7-647443a4-a7af2d7b259c0a03;gz%22	https://themecraze.net/demos/html/spring/spring/service-detail.html	E:/T&P/Raam/themecraze.net/demos/html/spring/spring/service-detail.html	(from https://themecraze.net/demos/html/spring/spring/index.html)
